Name,Institute,Country,Year
"Chesler, Paul","Harvard","","2015"
"Kurkela, Eero Aleksi","CERN","","2015"
"Sichtermann, Ernst","Lawrence Berkeley National Laboratory","","2015"
"Nagamiya, Shoji","RIKEN","","2015"
"Loizides, Constantinos","Lawrence Berkeley National Lab. (US)","","2015"
"Bozek, Piotr","AGH University of Science and Technology","","2015"
"Shen, Chun","McGill University","","2015"
"Stankus, Paul","Oak Ridge National Laboratory -  (US)","","2015"
"Shibata, Masaru","Kyoto University","","2015"
"Schlichting, Soeren","Brookhaven National Lab","","2015"
"Romatschke, Paul","University of Colorado, Boulder","","2015"
"Nguyen, Matthew","Centre National de la Recherche Scientifique (FR)","","2015"
"Hatta, Yoshitaka","Japan/Yukawa Institute","","2015"
"Watanabe, Yosuke","University of Tokyo (JP)","","2015"
"Mehtar-Tani, Yacine","","","2015"
"Averbeck, Ralf","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2015"
"Zhuang, Pengfei","Tsinghua University","","2015"
"Arnaldi, Roberta","Universita e INFN Torino (IT)","","2015"
"Arslandok, Mesut","Johann-Wolfgang-Goethe Univ. (DE)","","2015"
"Yamaguchi, Yorito","","","2015"
"Li, Qiang","Brookhaven National Laboratory","","2015"
"Jacak, Barbara","Lawrence Berkeley National Lab. (US)","","2015"
"Mustafa, Mustafa","Lawrence Berkeley National Laboratory","","2015"
"Ratti, Claudia","University of Houston","","2015"
"Denicol, Gabriel","McGill University","","2015"
"Luo, Xiaofeng","Central China Normal University","","2015"
"Nahrgang, Marlene","","","2015"
"Floerchinger, Stefan","CERN","","2015"
"Lisa, Mike","Ohio State University (US)","","2015"
"Baym, Gordon","University of Illinois","","2015"
"Geurts, Frank","Rice University (US)","","2015"
"Drees, Axel","","","2015"
"Hong, Byungsik","Korea University (KR)","","2015"
"Angerami, Aaron","Columbia University (US)","","2015"
"Gunji, Taku","University of Tokyo (JP)","","2015"
"Mohapatra, Soumya","Columbia University (US)","","2015"
"LIAO, JINFENG","","","2015"
"Liao, Jinfeng","Indiana University","","2015"
